Account or Security,Coupon,Maturity Date,Quantity,Cost Value,Market Value,Year,Industry
ABBOTT LABS,2.35,11/22/19,510000,509500.2,510601.29,2016,
ABBOTT LABS,2.35,11/22/19,910000,910428.2,910990.08,2017,
ABBOTT LABS,2,09/15/18,817000,819393.81,816820.26,2017,
ABBOTT LABS,5.13,04/01/19,85000,89604.45,87976.96,2017,
ABBOTT LABS,2.35,11/22/19,158000,158074.35,157074.91,2018,
ABBOTT LABS,2,09/15/18,817000,819393.81,815733.65,2018,
ABBOTT LABS,3.4,11/30/23,750000,818662.5,800401.63,2021,
ABBOTT LABS,3.4,11/30/23,750000,818662.5,751718.94,2022,
ABBOTT LABS,3.4,11/30/23,750000,818662.5,743345.5,2023,
ABBVIE INC,1.75,11/06/17,550000,548850.5,555982.35,2012,
ABBVIE INC,1.2,11/06/15,570000,569618.1,573808.17,2012,
ABBVIE INC,1.07,11/06/15,845000,845000,854747.07,2012,
ABBVIE INC,1.2,11/06/15,700000,699531,704676.7,2012,
ABBVIE INC,1.75,11/06/17,550000,548850.5,549057.85,2013,
ABBVIE INC,1.2,11/06/15,570000,569618.1,575793.48,2013,
ABBVIE INC,1.2,11/06/15,950000,950648.5,959655.8,2013,
ABBVIE INC,1.2,11/06/15,500000,504613.92,505082,2013,
ABBVIE INC,1.75,11/06/17,550000,548850.5,551195.15,2014,
ABBVIE INC,1.2,11/06/15,570000,569618.1,571675.23,2014,
ABBVIE INC,1.2,11/06/15,590000,590402.75,591734.01,2014,
ABBVIE INC,1.75,11/06/17,270000,271729.8,270586.71,2014,
ABBVIE INC,1.2,11/06/15,1700000,1716660,1704996.3,2014,
ABBVIE INC,1.2,11/06/15,190000,192023.5,190558.41,2014,
ABBVIE INC,1.2,11/06/15,1650000,1663329.86,1654849.35,2014,
ABBVIE INC,1.75,11/06/17,550000,548850.5,548932.45,2015,
ABBVIE INC,1.8,05/14/18,925000,927534.5,920741.3,2015,
ABBVIE INC,1.8,05/14/18,150000,149847,149309.4,2015,
ABBVIE INC,1.8,05/14/18,1225000,1223750.5,1219360.1,2015,
ABBVIE INC,1.75,11/06/17,865000,870656.8,863321.03,2015,
ABBVIE INC,1.8,05/14/18,575000,574413.5,572352.7,2015,
ABBVIE INC,1.8,05/14/18,150000,149847,150112.65,2016,
ABBVIE INC,1.8,05/14/18,1225000,1223750.5,1225919.98,2016,
ABBVIE INC,1.8,05/14/18,350000,349643,350262.85,2016,
ABBVIE INC,2.5,05/14/20,90000,91231.2,90277.38,2017,
ABBVIE INC,3.75,11/14/23,1115000,1113572.8,1160862.18,2019,
ABBVIE INC,3.38,11/14/21,120000,119793.6,122033.64,2019,
ABBVIE INC,2.3,05/14/21,460000,447584.6,457218.38,2019,
ABBVIE INC,3.38,11/14/21,749000,747711.72,761693.3,2019,
ABBVIE INC,2.3,05/14/21,275000,271147.25,273337.08,2019,
ABBVIE INC,2.5,05/14/20,1303000,1299418.12,1302876.22,2019,
ABBVIE INC,2.6,11/21/24,2735000,2732565.85,2903507.94,2020,
ABBVIE INC,3.38,11/14/21,120000,119793.6,124329.58,2020,
ABBVIE INC,3.38,11/14/21,749000,747711.72,776023.81,2020,
ABBVIE INC,1.02,11/21/22,4770000,4776607.5,4784014.26,2020,
ABBVIE INC,1.02,11/21/22,1200000,1200000,1203525.6,2020,
ABBVIE INC,2.6,11/21/24,1065000,1135158.13,1122986.03,2021,
ABBVIE INC,2.95,11/21/26,495000,545836.8,532098.45,2021,
ABBVIE INC,2.3,11/21/22,550000,569576.13,564532.97,2021,
ABBVIE INC,3.38,11/14/21,120000,119793.6,121380.12,2021,
ABBVIE INC,2.3,11/21/22,2736000,2833382.37,2808294.91,2021,
ABBVIE INC,0.8,11/21/22,5745000,5774317.37,5785276.99,2021,
ABBVIE INC,0.8,11/21/22,1200000,1205560.84,1208412.95,2021,
ABBVIE INC,2.9,11/06/22,89000,92327.71,91958.36,2021,
ABBVIE INC,2.6,11/21/24,1065000,1135158.13,1030877.86,2022,
ABBVIE INC,2.95,11/21/26,495000,545836.8,469035.55,2022,
ABBVIE INC,2.3,11/21/22,550000,569576.13,548905.63,2022,
ABBVIE INC,3.6,05/14/25,60000,61723.8,59024.28,2022,
ABBVIE INC,2.3,11/21/22,2736000,2833382.37,2730556.02,2022,
ABBVIE INC,2.3,11/21/22,2800000,2843835.2,2794428.67,2022,
ABBVIE INC,2.9,11/06/22,89000,92327.71,88989.48,2022,
ABBVIE INC,3.25,10/01/22,597000,603694.76,597000,2022,
ABBVIE INC,2.6,11/21/24,1065000,1135158.13,1021838.75,2023,
ABBVIE INC,2.95,11/21/26,495000,545836.8,462450.97,2023,
ABBVIE INC,3.6,05/14/25,350000,344795.5,338343.83,2023,
ABBVIE INC,3.6,05/14/25,60000,61723.8,58001.8,2023,
ABBVIE INC,2.6,11/21/24,400000,388920,383789.2,2023,
ABBVIE INC,2.6,11/21/24,3218000,3087638.82,3087584.11,2023,
ABBVIE INC,2.6,11/21/24,250000,241285,239868.25,2023,
ABBVIE INC,2.6,11/21/24,245000,244781.95,235070.89,2023,
ABBVIE INC,2.95,11/21/26,795000,794053.95,864680.39,2020,
ABBVIE INC,2.3,11/21/22,1713000,1711321.26,1771891.33,2020,
ABBVIE INC,2.15,11/19/21,370000,369944.5,377035.36,2020,
ABBVIE INC,2.3,11/21/22,550000,549461,568908.48,2020,
ABBVIE INC,2.3,11/21/22,1023000,1031858.79,1058169.78,2020,
ABBVIE INC,2.15,11/19/21,1000000,999850,1019014.49,2020,
ABBVIE INC,2.15,11/19/21,900000,899865,917113.04,2020,
ABBVIE INC,3.45,03/15/22,345000,359376.15,358820.74,2020,
ABBVIE INC,2.15,11/19/21,370000,376270.18,372687.42,2021,
ABBVIE INC,2.15,11/19/21,1000000,1016946.44,1007263.29,2021,
ABBVIE INC,2.15,11/19/21,900000,915251.8,906536.96,2021,
ABBVIE INC,3.45,03/15/22,345000,356461.32,350817.61,2021,
ABBVIE INC,1.8,05/14/18,150000,149847,149926.65,2017,
ABBVIE INC,1.8,05/14/18,1225000,1223750.5,1224400.98,2017,
ABBVIE INC,1.8,05/14/18,1000000,1002010,999511,2017,
ABBVIE INC,2.15,11/21/22,5745000,5774317.37,5746008.71,2022,
ABBVIE INC,2.15,11/21/22,1200000,1205560.84,1200210.7,2022,
ABN AMRO BK N V MEDIUM T,1.375,01/22/16,695000,696068.65,700118.67,2013,
ABN AMRO BK N V MEDIUM T,2.006,01/30/14,2200000,2228472.95,2202772,2013,
ABN AMRO BK N V MEDIUM T,1.375,01/22/16,695000,696068.65,697811.27,2014,
ABN AMRO BK N V MEDIUM T,0.645,06/06/16,2600000,2600000,2596609.6,2014,
ABN AMRO BK N V MEDIUM T,1.375,01/22/16,2200000,2212760,2208898.98,2014,
ABN AMRO BK N V MEDIUM T,0.862,06/06/16,2600000,2600000,2599456.6,2015,
ABN AMRO BK N V MEDIUM T,4.25,02/02/17,276000,286510.08,283421.91,2015,
ABN AMRO BK N V MEDIUM T,1.123,10/28/16,2260000,2269248,2266328,2015,
ABN AMRO BK N V MEDIUM T,1.8,09/20/19,1400000,1398124,1379680.4,2016,
ABN AMRO BK N V MEDIUM T,1.8,06/04/18,2400000,2410152,2394120,2016,
ABN AMRO BK N V MEDIUM T,1.8,09/20/19,1400000,1398124,1386728,2017,
ABN AMRO BK N V MEDIUM T,2.1,01/18/19,2400000,2402808,2396860.8,2017,
ABN AMRO BK N V MEDIUM T,2.1,01/18/19,2000000,1999920,1997384,2017,
ABN AMRO BK N V MEDIUM T,1.8,09/20/19,1400000,1398124,1378420.4,2018,
ABN AMRO BK N V MEDIUM T,2.1,01/18/19,2400000,2402808,2391264,2018,
ABN AMRO BK N V MEDIUM T,2.1,01/18/19,2000000,1999920,1992720,2018,
ABN AMRO BK N V MEDIUM T,3.09,08/27/21,2365000,2367501.25,2373703.2,2019,
ABN AMRO BK N V MEDIUM T,2.45,06/04/20,1800000,1791738,1800316.79,2019,
ABN AMRO BK N V MEDIUM T,2.45,06/04/20,617000,607380.97,617108.59,2019,
ABN AMRO BK N V MEDIUM T,3.09,08/27/21,578000,578000,580127.04,2019,
ABN AMRO BK N V MEDIUM T,1.8,09/20/19,555000,548173.5,554165.28,2019,
ABN AMRO BK N V MEDIUM T,0.94,08/27/21,2365000,2367501.25,2374561.67,2020,
ABN AMRO BK N V MEDIUM T,0.94,08/27/21,1100000,1103751,1104447.29,2020,
ABN AMRO BK N V MEDIUM T,3.4,08/27/21,2400000,2459640,2478302.4,2020,
ABN AMRO BK N V MEDIUM T,0.94,08/27/21,578000,578000,580336.85,2020,
ABN AMRO BK N V MEDIUM T,0.71,08/27/21,2365000,2367501.25,2366962.95,2021,
ABN AMRO BK N V MEDIUM T,0.71,08/27/21,1100000,1103751,1100913,2021,
ABN AMRO BK N V MEDIUM T,3.4,08/27/21,2400000,2459640,2411863.39,2021,
ABN AMRO BK N V MEDIUM T,0.71,08/27/21,578000,578000,578479.74,2021,
ACE INA HLDGS INC 2.3% DUE 11-,2.3,11/03/20,630000,645460.2,629855.73,2016,
ACE INA HLDGS INC 2.3% DUE 11-,2.3,11/03/20,630000,645460.2,628997.04,2017,
ACE INA HLDGS INC 2.3% DUE 11-,2.3,11/03/20,630000,645460.2,618789.15,2018,
ACE INA HLDGS INC 2.3% DUE 11-,2.3,11/03/20,1185000,1177759.65,1185507.18,2019,
ACE INA HLDGS INC 2.3% DUE 11-,2.88,11/03/22,698000,718856.24,718681.77,2021,
ACE INA HLDGS INC 2.3% DUE 11-,2.88,11/03/22,698000,718856.24,698221.55,2022,
ACE INA HOLDINGS,2.6,11/23/15,1013000,1063208.78,1063448.41,2012,
ACE INA HOLDINGS,5.7,02/15/17,1000000,1137990,1121350,2013,
ACE INA HOLDINGS,5.7,02/15/17,1000000,1137990,1090961,2014,
ACE INA HOLDINGS,2.3,11/03/20,675000,674622,670146.07,2015,
ACE INA HOLDINGS,5.7,02/15/17,1000000,1137990,1046351,2015,
ACE INA HOLDINGS,5.7,02/15/17,1000000,1137990,1004957,2016,
ACTAVIS FDG,2.45,06/15/19,420000,418807.2,412837.74,2014,
ACTAVIS FDG,2.45,06/15/19,420000,418807.2,415458.96,2015,
ACTAVIS FDG,2.35,03/12/18,545000,544732.95,545567.89,2015,
ACTAVIS FDG,2.35,03/12/18,195000,194904.45,195203.19,2015,
ACTIVISION BLIZZARD INC 2.3% D,2.3,09/15/21,144000,139277.34,139333.54,2018,
ACTIVISION BLIZZARD INC 2.3% D,2.3,09/15/21,144000,139277.34,143728.99,2019,
ACTIVISION BLIZZARD INC 2.3% D,2.3,09/15/21,144000,139277.34,146769.85,2020,
ACTIVISION BLIZZARD INC 2.3% D,1.35,09/15/30,197000,159436.04,157588.14,2023,
ACTIVISION BLIZZARD INC 2.3% D,2.5,09/15/50,405000,265881.9,260543.3,2023,
ADOBE INC 1.7% DUE 02-01-2023,1.7,02/01/23,50000,49931.5,51751.17,2020,
ADOBE INC FIXED 1.9% DUE 02-01,1.9,02/01/25,400000,388332,380106.88,2023,
ADOBE SYSTEMS INC,3.25,02/01/15,380000,401205.4,397929.54,2012,
ADVANCE AUTO PARTS INC 5.9%,5.9,03/09/26,250000,256775,247248.86,2023,
ADVANCED DRAIN SYS INC D,6.38,06/15/30,100000,100277,98927,2023,
ADVENTIST HEALTH SYS/WEST 2.43,2.43,09/01/24,784000,784000,813816.06,2020,
ADVENTIST HEALTH SYS/WEST 2.43,2.43,09/01/24,784000,784000,805289.48,2021,
ADVENTIST HEALTH SYS/WEST 2.43,2.43,09/01/24,784000,784000,759536.73,2022,
ADVENTIST HEALTH SYS/WEST 2.43,2.43,09/01/24,784000,784000,753771.28,2023,
AEP TEX INC 2.4% DUE 10-01-202,2.4,10/01/22,476000,488852,486741.45,2021,
AEP TEX INC 2.4% DUE 10-01-202,2.4,10/01/22,476000,488852,476244.63,2022,
AERCAP IRELAND CAP DESIGNATED,4.63,10/30/20,605000,637809.15,634210.61,2017,
AERCAP IRELAND CAP DESIGNATED,4.63,10/30/20,605000,637809.15,616380.66,2018,
AERCAP IRELAND CAP DESIGNATED,4.45,12/16/21,516000,515360.16,535774.67,2019,
AERCAP IRELAND CAP DESIGNATED,4.63,10/30/20,605000,637809.15,620370.63,2019,
AERCAP IRELAND CAP DESIGNATED,4.45,12/16/21,516000,515360.16,521125.69,2020,
AERCAP IRELAND CAP DESIGNATED,4.63,10/30/20,605000,637809.15,607631.75,2020,
AERCAP IRELAND CAP DESIGNATED,4.45,12/16/21,516000,515360.16,523835.01,2021,
AERCAP IRELAND CAP DESIGNATED,3,10/29/28,440000,439199.2,370620.29,2022,
AERCAP IRELAND CAP DESIGNATED,3.56,01/30/32,430000,428383.2,344211.28,2022,
AERCAP IRELAND CAP DESIGNATED,1.15,10/29/23,884000,862545.32,842295.11,2022,
AERCAP IRELAND CAP DESIGNATED,1.65,10/29/24,250000,249837.5,230832.95,2022,
AERCAP IRELAND CAP DESIGNATED,3,10/29/28,440000,439199.2,380447.2,2023,
AERCAP IRELAND CAP DESIGNATED,3.3,01/30/32,350000,288725.5,286334.56,2023,
AERCAP IRELAND CAP DESIGNATED,1.15,10/29/23,884000,862545.32,869836.12,2023,
AERCAP IRELAND CAP DESIGNATED,1.65,10/29/24,250000,249837.5,234927.34,2023,
AES CORP 5.45% DUE 06-01-2028,5.45,06/01/28,50000,49913.5,49096.85,2023,
AES CORP SR SECD 1ST LIE,3.95,07/15/30,195000,174986.55,174820.98,2023,
AETNA INC 1.75%,5.75,06/15/11,135000,134487,141575.31,2009,
AETNA INC 1.75%,1.75,05/15/17,1130000,1134949.4,1131022.65,2016,
AETNA INC NEW,2.8,06/15/23,375000,384513.75,369378.38,2016,
AETNA INC NEW,1.9,06/07/19,710000,709467.5,708371.97,2016,
AETNA INC NEW,1.9,06/07/19,340000,339745,339220.38,2016,
AETNA INC NEW,1.7,06/07/18,60000,59952,59944.38,2016,
AETNA INC NEW,1.7,06/07/18,800000,799360,799258.4,2016,
AETNA INC NEW,1.7,06/07/18,1000000,999200,999073,2016,
AETNA INC NEW,1.7,06/07/18,800000,799360,798742.4,2017,
AETNA INC NEW,1.7,06/07/18,1000000,999200,998428,2017,
AETNA INC NEW,3.5,11/15/24,300000,297840,290615.6,2023,
AFLAC INC,2.65,02/15/17,928000,927174.08,975533.08,2012,
AFLAC INC,2.65,02/15/17,787000,786299.57,812112.38,2013,
AFLAC INC,2.65,02/15/17,787000,786299.57,809752.17,2014,
AFLAC INC,2.65,02/15/17,787000,786299.57,797362.42,2015,
AGFC CAP TRUST,6,01/15/67,200000,198090.85,70000,2009,
AGL CAP CORP DISC COML PAPER,0,01/23/13,2000000,1999116.11,1999626.8,2012,
AGRIBANK FCB,9.125,07/15/19,947000,1169249.59,1148211.93,2015,
AIA GROUP LTD 3.2% DUE ,4.88,06/30/20,235000,234356.1,235919.55,2010,
AIA GROUP LTD 3.2% DUE ,2.25,03/11/19,550000,557265.5,551741.3,2016,
AIA GROUP LTD 3.2% DUE ,3.2,03/11/25,1455000,1500786.07,1541653.02,2020,
AIA GROUP LTD 3.2% DUE ,3.2,03/11/25,1455000,1500786.07,1546417.65,2021,
AIA GROUP LTD 3.2% DUE ,4.5,01/25/22,201000,210332.43,205400.63,2021,
AIA GROUP LTD 3.2% DUE ,3.2,03/11/25,1455000,1500786.07,1433620.04,2022,
AIA GROUP LTD 3.2% DUE ,3.2,03/11/25,1455000,1500786.07,1399217.15,2023,
AIA GROUP LTD 3.2% DUE ,5.63,10/25/27,629000,620827.38,644409.17,2023,
AIA GROUP LTD TRANCHE # TR 007,2.25,03/11/19,550000,557265.5,546825.4,2017,
AIA GROUP LTD TRANCHE # TR 007,2.25,03/11/19,550000,557265.5,546344.15,2018,
AIG GLOBAL FUNDING,1.65,12/15/17,750000,749302.5,749871,2014,
AIG GLOBAL FUNDING,1.65,12/15/17,740000,739311.8,739872.72,2014,
AIG GLOBAL FUNDING,1.65,12/15/17,750000,749302.5,746229.75,2015,
AIG GLOBAL FUNDING,1.65,12/15/17,920000,920667.2,915375.16,2015,
AIG GLOBAL FUNDING,1.65,12/15/17,750000,749302.5,750737.25,2016,
AIG GLOBAL FUNDING,1.65,12/15/17,2200000,2212474,2202162.6,2016,
AIG GLOBAL FUNDING,1.65,12/15/17,1100000,1097965,1101081.3,2016,
AIG GLOBAL FUNDING,1.95,10/18/19,70000,69935.6,69394.85,2017,
AIG GLOBAL FUNDING,2.15,07/02/20,100000,99937,99114.4,2017,
AIG GLOBAL FUNDING,2.17,07/02/20,3325000,3327685.85,3336285.05,2017,
AIG GLOBAL FUNDING,1.95,10/18/19,70000,69935.6,69056.82,2018,
AIG GLOBAL FUNDING,2.15,07/02/20,100000,99937,98001.2,2018,
AIG GLOBAL FUNDING,2.82,07/02/20,3325000,3327685.85,3326991.68,2018,
AIG GLOBAL FUNDING,2.8,06/25/21,1400000,1400000,1400796.6,2018,
AIG GLOBAL FUNDING,2.7,12/15/21,200000,193788,201658,2019,
AIG GLOBAL FUNDING,2.3,07/01/22,120000,119965.2,120019.32,2019,
AIG GLOBAL FUNDING,2.15,07/02/20,100000,99937,99723.8,2019,
AIG GLOBAL FUNDING,3.08,07/02/20,3325000,3327685.85,3335922.63,2019,
AIG GLOBAL FUNDING,2.81,06/25/21,1400000,1400000,1405233.2,2019,
AIG GLOBAL FUNDING,2.15,07/02/20,2645000,2594294.9,2637694.51,2019,
AIG GLOBAL FUNDING,3.24,01/22/21,1012000,1012000,1015497.47,2019,
AIG GLOBAL FUNDING,2.7,12/15/21,200000,193788,205969.55,2020,
AIG GLOBAL FUNDING,2.3,07/01/22,120000,119965.2,123614.88,2020,
AIG GLOBAL FUNDING,2.15,07/02/20,100000,99937,100000,2020,
AIG GLOBAL FUNDING,1.93,07/02/20,3325000,3327685.85,3325000,2020,
AIG GLOBAL FUNDING,1.68,06/25/21,1400000,1400000,1402394,2020,
AIG GLOBAL FUNDING,1.75,01/22/21,1012000,1012000,1013141.98,2020,
AIG GLOBAL FUNDING,2.7,12/15/21,200000,193788,202272.18,2021,
AIG GLOBAL FUNDING,2.3,07/01/22,120000,119965.2,122292.06,2021,
AIG GLOBAL FUNDING,0.9,09/22/25,150000,149875.5,148074.97,2021,
AIG GLOBAL FUNDING,0.45,12/08/23,130000,129857,129752.52,2021,
AIG GLOBAL FUNDING,0.42,12/15/23,867000,867000,867878.72,2021,
AIG GLOBAL FUNDING,2.3,07/01/22,950000,968781.5,968145.49,2021,
AIG GLOBAL FUNDING,3.85,04/11/25,1385000,1384612.2,1358651.7,2022,
AIG GLOBAL FUNDING,0.9,09/22/25,150000,149875.5,134554.4,2022,
AIG GLOBAL FUNDING,3.85,04/11/25,2000000,1999440,1961951.92,2022,
AIG GLOBAL FUNDING,0.45,12/08/23,130000,129857,124184.99,2022,
AIG GLOBAL FUNDING,1.71,12/15/23,867000,867000,861548.3,2022,
AIG GLOBAL FUNDING,2.3,07/01/22,950000,968781.5,950000,2022,
AIG GLOBAL FUNDING,0.4,09/13/23,1508000,1507457.12,1455309.94,2022,
AIG GLOBAL FUNDING,3.85,04/11/25,1385000,1384612.2,1318779.62,2023,
AIG GLOBAL FUNDING,0.9,09/22/25,150000,149875.5,134669.6,2023,
AIG GLOBAL FUNDING,3.85,04/11/25,2000000,1999440,1904374.9,2023,
AIG GLOBAL FUNDING,0.65,06/17/24,5300000,5056995,5056177.21,2023,
AIG GLOBAL FUNDING,5.44,12/15/23,867000,867000,864664.69,2023,
AIG GLOBAL FUNDING,0.65,06/17/24,754000,705434.86,719312.76,2023,
AIG GLOBAL FUNDING,0.4,09/13/23,1508000,1507457.12,1491441.33,2023,
AIR CANADA 2015-1A PTT 3,3.6,03/15/27,624158.35,628839.53,621817.76,2016,
AIR CANADA 2015-1A PTT 3,3.6,09/15/28,627452.27,631421.72,636926.8,2017,
AIR CANADA 2015-1A PTT 3,3.6,09/15/28,610854.6,614719.05,591124,2018,
AIR CANADA 2015-1A PTT 3,3.6,09/15/28,577659.25,581313.7,594931.26,2019,
AIR CANADA 2015-1A PTT 3,3.6,09/15/28,544463.89,547908.34,497831.59,2020,
AIR CANADA 2015-1A PTT 3,3.6,09/15/28,511268.55,514503,519748.81,2021,
AIR CANADA 2015-1A PTT 3,3.6,09/15/28,478073.2,481097.65,452673.08,2022,
AIR CANADA 2015-1A PTT 3,3.6,09/15/28,444877.86,447692.31,412870.86,2023,
AIR LEASE CORP 2.125% DUE 01-1,2.13,01/15/20,350000,348750.5,344776.95,2016,
AIR LEASE CORP 2.125% DUE 01-1,2.75,01/15/23,1034000,1024135.64,1018900.5,2017,
AIR LEASE CORP 2.125% DUE 01-1,2.13,01/15/20,350000,348750.5,347431.35,2017,
AIR LEASE CORP 2.125% DUE 01-1,2.13,01/15/18,4265000,4266696.6,4264714.25,2017,
AIR LEASE CORP 2.125% DUE 01-1,2.13,01/15/18,1600000,1603696,1599892.8,2017,
AIR LEASE CORP 2.125% DUE 01-1,3.38,01/15/19,820000,835752.2,827943.34,2017,
AIR LEASE CORP 2.125% DUE 01-1,2.75,01/15/23,1034000,1024135.64,984913.95,2018,
AIR LEASE CORP 2.125% DUE 01-1,3.25,03/01/25,890000,878581.3,825756.24,2018,
AIR LEASE CORP 2.125% DUE 01-1,2.13,01/15/20,350000,348750.5,343532.35,2018,
AIR LEASE CORP 2.125% DUE 01-1,2.5,03/01/21,170000,168947.7,165513.53,2018,
AIR LEASE CORP 2.125% DUE 01-1,3.38,01/15/19,820000,835752.2,821581.78,2018,
AIR LEASE CORP 2.125% DUE 01-1,3.38,01/15/19,946000,952032.1,947824.83,2018,
AIR LEASE CORP 2.125% DUE 01-1,3.25,03/01/25,324000,319843.08,326007.18,2019,
AIR LEASE CORP 2.125% DUE 01-1,2.75,01/15/23,590000,590227.53,589827.13,2019,
AIR LEASE CORP 2.125% DUE 01-1,2.5,03/01/21,145000,144102.45,145086.42,2019,
AIR LEASE CORP 2.125% DUE 01-1,3.5,01/15/22,185000,183686.5,189447.4,2019,
AIR LEASE CORP 2.125% DUE 01-1,2.5,03/01/21,1440000,1420617.6,1440858.24,2019,
